"Label (Grouping)","HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"Miami-Dade County, Florida",""
"    Estimate","509,440"
"    Percent","52.2%"
"Monroe County, Florida",""
"    Estimate","22,636"
"    Percent","65.8%"
"Nassau County, Florida",""
"    Estimate","32,516"
"    Percent","82.7%"
"Okaloosa County, Florida",""
"    Estimate","58,417"
"    Percent","68.4%"
"Okeechobee County, Florida",""
"    Estimate","11,161"
"    Percent","73.9%"
"Orange County, Florida",""
"    Estimate","299,786"
"    Percent","56.8%"
"Osceola County, Florida",""
"    Estimate","93,287"
"    Percent","65.3%"
"Palm Beach County, Florida",""
"    Estimate","424,264"
"    Percent","70.1%"
"Pasco County, Florida",""
"    Estimate","178,821"
"    Percent","75.7%"
"Pinellas County, Florida",""
"    Estimate","297,912"
"    Percent","69.5%"
"Polk County, Florida",""
"    Estimate","203,945"
"    Percent","70.5%"
"Putnam County, Florida",""
"    Estimate","23,630"
"    Percent","75.4%"
"St. Johns County, Florida",""
"    Estimate","95,222"
"    Percent","82.2%"
"St. Lucie County, Florida",""
"    Estimate","107,984"
"    Percent","78.6%"
"Santa Rosa County, Florida",""
"    Estimate","58,531"
"    Percent","80.6%"
"Sarasota County, Florida",""
"    Estimate","162,776"
"    Percent","76.7%"
"Seminole County, Florida",""
"    Estimate","123,956"
"    Percent","66.2%"
"Sumter County, Florida",""
"    Estimate","61,604"
"    Percent","87.6%"
"Suwannee County, Florida",""
"    Estimate","12,072"
"    Percent","74.9%"
"Taylor County, Florida",""
"    Estimate","6,062"
"    Percent","76.0%"
"Union County, Florida",""
"    Estimate","3,226"
"    Percent","74.7%"
"Volusia County, Florida",""
"    Estimate","178,279"
"    Percent","73.7%"
"Wakulla County, Florida",""
"    Estimate","10,436"
"    Percent","81.9%"
"Walton County, Florida",""
"    Estimate","27,004"
"    Percent","78.6%"
"Washington County, Florida",""
"    Estimate","7,425"
"    Percent","80.0%"
"Appling County, Georgia",""
"    Estimate","5,205"
"    Percent","72.5%"
"Atkinson County, Georgia",""
"    Estimate","1,994"
"    Percent","61.9%"
"Bacon County, Georgia",""
"    Estimate","2,886"
"    Percent","68.6%"
"Baker County, Georgia",""
"    Estimate","850"
"    Percent","76.7%"
"Baldwin County, Georgia",""
"    Estimate","10,125"
"    Percent","61.1%"
"Banks County, Georgia",""
"    Estimate","5,397"
"    Percent","78.7%"
"Barrow County, Georgia",""
"    Estimate","24,170"
"    Percent","78.5%"
"Bartow County, Georgia",""
"    Estimate","29,735"
"    Percent","72.8%"
"Ben Hill County, Georgia",""
"    Estimate","4,481"
"    Percent","63.3%"
"Berrien County, Georgia",""
"    Estimate","4,999"
"    Percent","71.0%"
"Bibb County, Georgia",""
"    Estimate","30,802"
"    Percent","51.4%"
"Bleckley County, Georgia",""
"    Estimate","3,257"
"    Percent","72.9%"
"Brantley County, Georgia",""
"    Estimate","5,272"
"    Percent","79.9%"
"Brooks County, Georgia",""
"    Estimate","4,340"
"    Percent","71.7%"
"Bryan County, Georgia",""
"    Estimate","12,904"
"    Percent","77.7%"
"Bulloch County, Georgia",""
"    Estimate","16,389"
"    Percent","53.1%"
"Burke County, Georgia",""
"    Estimate","6,429"
"    Percent","70.0%"
"Butts County, Georgia",""
"    Estimate","6,642"
"    Percent","74.3%"
"Calhoun County, Georgia",""
"    Estimate","947"
"    Percent","59.4%"
"Camden County, Georgia",""
"    Estimate","14,706"
"    Percent","67.8%"
"Candler County, Georgia",""
"    Estimate","2,576"
"    Percent","62.0%"
"Carroll County, Georgia",""
"    Estimate","31,438"
"    Percent","71.3%"
"Catoosa County, Georgia",""
"    Estimate","19,789"
"    Percent","74.2%"
"Charlton County, Georgia",""
"    Estimate","3,378"
"    Percent","80.1%"
"Chatham County, Georgia",""
"    Estimate","68,319"
"    Percent","56.8%"
"Chattahoochee County, Georgia",""
"    Estimate","733"
"    Percent","39.3%"
"Chattooga County, Georgia",""
"    Estimate","6,114"
"    Percent","66.8%"
"Cherokee County, Georgia",""
"    Estimate","78,464"
"    Percent","77.3%"
"Clarke County, Georgia",""
"    Estimate","22,563"
"    Percent","41.4%"
"Clay County, Georgia",""
"    Estimate","964"
"    Percent","78.3%"
"Clayton County, Georgia",""
"    Estimate","57,782"
"    Percent","54.5%"
"Clinch County, Georgia",""
"    Estimate","1,720"
"    Percent","70.8%"
"Cobb County, Georgia",""
"    Estimate","198,190"
"    Percent","67.0%"
"Coffee County, Georgia",""
"    Estimate","9,925"
"    Percent","64.7%"
"Colquitt County, Georgia",""
"    Estimate","10,708"
"    Percent","63.7%"
"Columbia County, Georgia",""
"    Estimate","43,093"
"    Percent","78.1%"
"Cook County, Georgia",""
"    Estimate","4,162"
"    Percent","66.0%"
"Coweta County, Georgia",""
"    Estimate","44,124"
"    Percent","78.4%"
"Crawford County, Georgia",""
"    Estimate","3,614"
"    Percent","81.4%"
"Crisp County, Georgia",""
"    Estimate","4,389"
"    Percent","55.5%"
"Dade County, Georgia",""
"    Estimate","4,864"
"    Percent","80.0%"
"Dawson County, Georgia",""
"    Estimate","9,103"
"    Percent","78.7%"
"Decatur County, Georgia",""
"    Estimate","6,598"
"    Percent","62.1%"
"DeKalb County, Georgia",""
"    Estimate","168,868"
"    Percent","58.8%"
"Dodge County, Georgia",""
"    Estimate","4,855"
"    Percent","70.6%"
"Dooly County, Georgia",""
"    Estimate","2,608"
"    Percent","64.7%"
"Dougherty County, Georgia",""
"    Estimate","15,538"
"    Percent","45.3%"
"Douglas County, Georgia",""
"    Estimate","34,849"
"    Percent","66.9%"
"Early County, Georgia",""
"    Estimate","2,741"
"    Percent","66.6%"
"Echols County, Georgia",""
"    Estimate","869"
"    Percent","75.9%"
"Effingham County, Georgia",""
"    Estimate","19,030"
"    Percent","78.4%"
"Elbert County, Georgia",""
"    Estimate","5,941"
"    Percent","70.9%"
"Emanuel County, Georgia",""
"    Estimate","5,052"
"    Percent","60.8%"
"Evans County, Georgia",""
"    Estimate","2,666"
"    Percent","65.4%"
"Fannin County, Georgia",""
"    Estimate","9,342"
"    Percent","78.6%"
"Fayette County, Georgia",""
"    Estimate","35,714"
"    Percent","80.1%"
"Floyd County, Georgia",""
"    Estimate","23,434"
"    Percent","63.6%"
"Forsyth County, Georgia",""
"    Estimate","75,167"
"    Percent","84.4%"
"Franklin County, Georgia",""
"    Estimate","6,939"
"    Percent","77.2%"
"Fulton County, Georgia",""
"    Estimate","251,193"
"    Percent","54.3%"
"Gilmer County, Georgia",""
"    Estimate","10,506"
"    Percent","80.7%"
"Glascock County, Georgia",""
"    Estimate","700"
"    Percent","67.6%"
"Glynn County, Georgia",""
"    Estimate","23,695"
"    Percent","66.7%"
"Gordon County, Georgia",""
"    Estimate","15,776"
"    Percent","73.9%"
"Grady County, Georgia",""
"    Estimate","6,682"
"    Percent","66.1%"
"Greene County, Georgia",""
"    Estimate","6,390"
"    Percent","77.9%"
"Gwinnett County, Georgia",""
"    Estimate","216,729"
"    Percent","66.3%"
"Habersham County, Georgia",""
"    Estimate","12,197"
"    Percent","72.8%"
"Hall County, Georgia",""
"    Estimate","50,421"
"    Percent","68.6%"
"Hancock County, Georgia",""
"    Estimate","2,316"
"    Percent","79.3%"
"Haralson County, Georgia",""
"    Estimate","8,412"
"    Percent","71.6%"
"Harris County, Georgia",""
"    Estimate","11,571"
"    Percent","88.8%"
"Hart County, Georgia",""
"    Estimate","8,581"
"    Percent","77.8%"
"Heard County, Georgia",""
"    Estimate","3,115"
"    Percent","72.3%"
"Henry County, Georgia",""
"    Estimate","64,904"
"    Percent","74.9%"
"Houston County, Georgia",""
"    Estimate","42,738"
"    Percent","66.9%"
"Irwin County, Georgia",""
"    Estimate","2,528"
"    Percent","70.4%"
"Jackson County, Georgia",""
"    Estimate","22,532"
"    Percent","79.3%"
"Jasper County, Georgia",""
"    Estimate","5,106"
"    Percent","85.6%"
"Jeff Davis County, Georgia",""
"    Estimate","3,911"
"    Percent","71.3%"
"Jefferson County, Georgia",""
"    Estimate","3,919"
"    Percent","68.1%"
"Jenkins County, Georgia",""
"    Estimate","2,645"
"    Percent","82.2%"
"Johnson County, Georgia",""
"    Estimate","2,443"
"    Percent","75.9%"
"Jones County, Georgia",""
"    Estimate","9,013"
"    Percent","83.6%"
"Lamar County, Georgia",""
"    Estimate","5,397"
"    Percent","75.7%"
"Lanier County, Georgia",""
"    Estimate","2,550"
"    Percent","73.2%"
"Laurens County, Georgia",""
"    Estimate","11,949"
"    Percent","64.3%"
"Lee County, Georgia",""
"    Estimate","9,112"
"    Percent","74.2%"
"Liberty County, Georgia",""
"    Estimate","12,206"
"    Percent","50.9%"
"Lincoln County, Georgia",""
"    Estimate","2,295"
"    Percent","76.6%"
"Long County, Georgia",""
"    Estimate","4,017"
"    Percent","65.2%"
"Lowndes County, Georgia",""
"    Estimate","26,222"
"    Percent","56.9%"
"Lumpkin County, Georgia",""
"    Estimate","8,908"
"    Percent","76.3%"
"McDuffie County, Georgia",""
"    Estimate","5,299"
"    Percent","65.0%"
"McIntosh County, Georgia",""
"    Estimate","4,055"
"    Percent","80.0%"
"Macon County, Georgia",""
"    Estimate","2,708"
"    Percent","65.4%"
"Madison County, Georgia",""
"    Estimate","8,649"
"    Percent","76.9%"
"Marion County, Georgia",""
"    Estimate","2,339"
"    Percent","78.9%"
"Meriwether County, Georgia",""
"    Estimate","6,127"
"    Percent","73.0%"
"Miller County, Georgia",""
"    Estimate","1,813"
"    Percent","70.5%"
"Mitchell County, Georgia",""
"    Estimate","5,092"
"    Percent","65.2%"
"Monroe County, Georgia",""
"    Estimate","8,841"
"    Percent","83.8%"
"Montgomery County, Georgia",""
"    Estimate","2,395"
"    Percent","76.2%"
"Morgan County, Georgia",""
"    Estimate","6,352"
"    Percent","78.2%"
"Murray County, Georgia",""
"    Estimate","11,256"
"    Percent","73.8%"
"Muscogee County, Georgia",""
"    Estimate","41,390"
"    Percent","50.8%"
"Newton County, Georgia",""
"    Estimate","30,395"
"    Percent","73.8%"
"Oconee County, Georgia",""
"    Estimate","12,186"
"    Percent","81.3%"
"Oglethorpe County, Georgia",""
"    Estimate","4,536"
"    Percent","83.8%"
"Paulding County, Georgia",""
"    Estimate","48,470"
"    Percent","80.8%"
"Peach County, Georgia",""
"    Estimate","7,372"
"    Percent","69.6%"
"Pickens County, Georgia",""
"    Estimate","10,906"
"    Percent","81.2%"
"Pierce County, Georgia",""
"    Estimate","5,815"
"    Percent","76.5%"
"Pike County, Georgia",""
"    Estimate","5,689"
"    Percent","84.6%"
"Polk County, Georgia",""
"    Estimate","10,500"
"    Percent","66.0%"
"Pulaski County, Georgia",""
"    Estimate","2,530"
"    Percent","70.8%"
"Putnam County, Georgia",""
"    Estimate","8,444"
"    Percent","80.9%"
"Quitman County, Georgia",""
"    Estimate","899"
"    Percent","84.3%"
"Rabun County, Georgia",""
"    Estimate","5,873"
"    Percent","77.1%"
"Randolph County, Georgia",""
"    Estimate","1,385"
"    Percent","51.5%"
"Richmond County, Georgia",""
"    Estimate","39,285"
"    Percent","51.2%"
"Rockdale County, Georgia",""
"    Estimate","23,964"
"    Percent","69.6%"
"Schley County, Georgia",""
"    Estimate","1,312"
"    Percent","80.0%"
"Screven County, Georgia",""
"    Estimate","3,445"
"    Percent","69.8%"
"Seminole County, Georgia",""
"    Estimate","3,021"
"    Percent","80.2%"
"Spalding County, Georgia",""
"    Estimate","16,610"
"    Percent","62.7%"
"Stephens County, Georgia",""
"    Estimate","7,748"
"    Percent","73.6%"
"Stewart County, Georgia",""
"    Estimate","1,044"
"    Percent","58.9%"
"Sumter County, Georgia",""
"    Estimate","6,220"
"    Percent","56.6%"
"Talbot County, Georgia",""
"    Estimate","2,012"
"    Percent","79.6%"
"Taliaferro County, Georgia",""
"    Estimate","483"
"    Percent","82.1%"
"Tattnall County, Georgia",""
"    Estimate","5,419"
"    Percent","71.0%"
"Taylor County, Georgia",""
"    Estimate","1,999"
"    Percent","62.9%"
"Telfair County, Georgia",""
"    Estimate","2,176"
"    Percent","64.9%"
"Terrell County, Georgia",""
"    Estimate","2,084"
"    Percent","61.6%"
"Thomas County, Georgia",""
"    Estimate","11,915"
"    Percent","63.8%"
"Tift County, Georgia",""
"    Estimate","9,547"
"    Percent","61.0%"
"Toombs County, Georgia",""
"    Estimate","6,299"
"    Percent","60.5%"
"Towns County, Georgia",""
"    Estimate","4,875"
"    Percent","82.3%"
"Treutlen County, Georgia",""
"    Estimate","1,477"
"    Percent","65.3%"
"Troup County, Georgia",""
"    Estimate","16,298"
"    Percent","60.6%"
"Turner County, Georgia",""
"    Estimate","2,102"
"    Percent","63.8%"
"Twiggs County, Georgia",""
"    Estimate","2,546"
"    Percent","88.2%"
"Union County, Georgia",""
"    Estimate","9,697"
"    Percent","84.4%"
"Upson County, Georgia",""
"    Estimate","6,462"
"    Percent","61.0%"
"Walker County, Georgia",""
"    Estimate","20,337"
"    Percent","77.2%"
"Walton County, Georgia",""
"    Estimate","28,343"
"    Percent","79.3%"
"Ware County, Georgia",""
