County,Total civilian noninstitutionalized population
    Percent with a disability,
        Estimate,7.00%
"Piute County, Utah",
    Total,
        Estimate,"1,682"
    With a disability,
        Estimate,390
    Percent with a disability,
        Estimate,23.20%
"Rich County, Utah",
    Total,
        Estimate,"2,623"
    With a disability,
        Estimate,397
    Percent with a disability,
        Estimate,15.10%
"Salt Lake County, Utah",
    Total,
        Estimate,"1,189,413"
    With a disability,
        Estimate,"127,079"
    Percent with a disability,
        Estimate,10.70%
"San Juan County, Utah",
    Total,
        Estimate,"14,316"
    With a disability,
        Estimate,"2,979"
    Percent with a disability,
        Estimate,20.80%
"Sanpete County, Utah",
    Total,
        Estimate,"27,716"
    With a disability,
        Estimate,"3,707"
    Percent with a disability,
        Estimate,13.40%
"Sevier County, Utah",
    Total,
        Estimate,"21,703"
    With a disability,
        Estimate,"3,266"
    Percent with a disability,
        Estimate,15.00%
"Summit County, Utah",
    Total,
        Estimate,"42,887"
    With a disability,
        Estimate,"2,446"
    Percent with a disability,
        Estimate,5.70%
"Tooele County, Utah",
    Total,
        Estimate,"78,791"
    With a disability,
        Estimate,"8,817"
    Percent with a disability,
        Estimate,11.20%
"Uintah County, Utah",
    Total,
        Estimate,"36,787"
    With a disability,
        Estimate,"5,157"
    Percent with a disability,
        Estimate,14.00%
"Utah County, Utah",
    Total,
        Estimate,"702,375"
    With a disability,
        Estimate,"62,343"
    Percent with a disability,
        Estimate,8.90%
"Wasatch County, Utah",
    Total,
        Estimate,"36,383"
    With a disability,
        Estimate,"2,267"
    Percent with a disability,
        Estimate,6.20%
"Washington County, Utah",
    Total,
        Estimate,"195,038"
    With a disability,
        Estimate,"25,839"
    Percent with a disability,
        Estimate,13.20%
"Wayne County, Utah",
    Total,
        Estimate,"2,570"
    With a disability,
        Estimate,314
    Percent with a disability,
        Estimate,12.20%
"Weber County, Utah",
    Total,
        Estimate,"266,184"
    With a disability,
        Estimate,"32,128"
    Percent with a disability,
        Estimate,12.10%
"Addison County, Vermont",
    Total,
        Estimate,"37,381"
    With a disability,
        Estimate,"5,704"
    Percent with a disability,
        Estimate,15.30%
"Bennington County, Vermont",
    Total,
        Estimate,"36,773"
    With a disability,
        Estimate,"6,016"
    Percent with a disability,
        Estimate,16.40%
"Caledonia County, Vermont",
    Total,
        Estimate,"30,162"
    With a disability,
        Estimate,"5,324"
    Percent with a disability,
        Estimate,17.70%
"Chittenden County, Vermont",
    Total,
        Estimate,"168,534"
    With a disability,
        Estimate,"19,258"
    Percent with a disability,
        Estimate,11.40%
"Essex County, Vermont",
    Total,
        Estimate,"5,980"
    With a disability,
        Estimate,"1,328"
    Percent with a disability,
        Estimate,22.20%
"Franklin County, Vermont",
    Total,
        Estimate,"49,980"
    With a disability,
        Estimate,"7,553"
    Percent with a disability,
        Estimate,15.10%
"Grand Isle County, Vermont",
    Total,
        Estimate,"7,439"
    With a disability,
        Estimate,"1,012"
    Percent with a disability,
        Estimate,13.60%
"Lamoille County, Vermont",
    Total,
        Estimate,"26,060"
    With a disability,
        Estimate,"3,346"
    Percent with a disability,
        Estimate,12.80%
"Orange County, Vermont",
    Total,
        Estimate,"29,676"
    With a disability,
        Estimate,"5,084"
    Percent with a disability,
        Estimate,17.10%
"Orleans County, Vermont",
    Total,
        Estimate,"27,015"
    With a disability,
        Estimate,"4,668"
    Percent with a disability,
        Estimate,17.30%
"Rutland County, Vermont",
    Total,
        Estimate,"59,836"
    With a disability,
        Estimate,"9,122"
    Percent with a disability,
        Estimate,15.20%
"Washington County, Vermont",
    Total,
        Estimate,"59,411"
    With a disability,
        Estimate,"8,104"
    Percent with a disability,
        Estimate,13.60%
"Windham County, Vermont",
    Total,
        Estimate,"45,654"
    With a disability,
        Estimate,"7,185"
    Percent with a disability,
        Estimate,15.70%
"Windsor County, Vermont",
    Total,
        Estimate,"57,203"
    With a disability,
        Estimate,"8,840"
    Percent with a disability,
        Estimate,15.50%
"Accomack County, Virginia",
    Total,
        Estimate,"32,882"
    With a disability,
        Estimate,"5,615"
    Percent with a disability,
        Estimate,17.10%
"Albemarle County, Virginia",
    Total,
        Estimate,"113,554"
    With a disability,
        Estimate,"11,531"
    Percent with a disability,
        Estimate,10.20%
"Alleghany County, Virginia",
    Total,
        Estimate,"14,603"
    With a disability,
        Estimate,"2,608"
    Percent with a disability,
        Estimate,17.90%
"Amelia County, Virginia",
    Total,
        Estimate,"13,355"
    With a disability,
        Estimate,"2,290"
    Percent with a disability,
        Estimate,17.10%
"Amherst County, Virginia",
    Total,
        Estimate,"31,062"
    With a disability,
        Estimate,"5,044"
    Percent with a disability,
        Estimate,16.20%
"Appomattox County, Virginia",
    Total,
        Estimate,"16,546"
    With a disability,
        Estimate,"2,330"
    Percent with a disability,
        Estimate,14.10%
"Arlington County, Virginia",
    Total,
        Estimate,"231,799"
    With a disability,
        Estimate,"15,607"
    Percent with a disability,
        Estimate,6.70%
"Augusta County, Virginia",
    Total,
        Estimate,"75,306"
    With a disability,
        Estimate,"11,778"
    Percent with a disability,
        Estimate,15.60%
"Bath County, Virginia",
    Total,
        Estimate,"3,984"
    With a disability,
        Estimate,630
    Percent with a disability,
        Estimate,15.80%
"Bedford County, Virginia",
    Total,
        Estimate,"80,374"
    With a disability,
        Estimate,"10,374"
    Percent with a disability,
        Estimate,12.90%
"Bland County, Virginia",
    Total,
        Estimate,"5,397"
    With a disability,
        Estimate,863
    Percent with a disability,
        Estimate,16.00%
"Botetourt County, Virginia",
    Total,
        Estimate,"33,595"
    With a disability,
        Estimate,"3,949"
    Percent with a disability,
        Estimate,11.80%
"Brunswick County, Virginia",
    Total,
        Estimate,"13,849"
    With a disability,
        Estimate,"2,181"
    Percent with a disability,
        Estimate,15.70%
"Buchanan County, Virginia",
    Total,
        Estimate,"18,204"
    With a disability,
        Estimate,"6,872"
    Percent with a disability,
        Estimate,37.70%
"Buckingham County, Virginia",
    Total,
        Estimate,"14,843"
    With a disability,
        Estimate,"2,986"
    Percent with a disability,
        Estimate,20.10%
"Campbell County, Virginia",
    Total,
        Estimate,"54,604"
    With a disability,
        Estimate,"8,564"
    Percent with a disability,
        Estimate,15.70%
"Caroline County, Virginia",
    Total,
        Estimate,"31,117"
    With a disability,
        Estimate,"3,730"
    Percent with a disability,
        Estimate,12.00%
"Carroll County, Virginia",
    Total,
        Estimate,"29,001"
    With a disability,
        Estimate,"5,389"
    Percent with a disability,
        Estimate,18.60%
"Charles City County, Virginia",
    Total,
        Estimate,"6,620"
    With a disability,
        Estimate,"1,276"
    Percent with a disability,
        Estimate,19.30%
"Charlotte County, Virginia",
    Total,
        Estimate,"11,273"
    With a disability,
        Estimate,"2,406"
    Percent with a disability,
        Estimate,21.30%
"Chesterfield County, Virginia",
    Total,
        Estimate,"374,406"
    With a disability,
        Estimate,"47,062"
    Percent with a disability,
        Estimate,12.60%
"Clarke County, Virginia",
    Total,
        Estimate,"14,894"
    With a disability,
        Estimate,"1,895"
    Percent with a disability,
        Estimate,12.70%
"Craig County, Virginia",
    Total,
        Estimate,"4,832"
    With a disability,
        Estimate,660
    Percent with a disability,
        Estimate,13.70%
"Culpeper County, Virginia",
    Total,
        Estimate,"52,731"
    With a disability,
        Estimate,"5,869"
    Percent with a disability,
        Estimate,11.10%
"Cumberland County, Virginia",
    Total,
        Estimate,"9,818"
    With a disability,
        Estimate,"1,638"
    Percent with a disability,
        Estimate,16.70%
"Dickenson County, Virginia",
    Total,
        Estimate,"13,289"
    With a disability,
        Estimate,"4,830"
    Percent with a disability,
        Estimate,36.30%
"Dinwiddie County, Virginia",
    Total,
        Estimate,"27,734"
    With a disability,
        Estimate,"4,105"
    Percent with a disability,
        Estimate,14.80%
"Essex County, Virginia",
    Total,
        Estimate,"10,551"
    With a disability,
        Estimate,"1,816"
    Percent with a disability,
        Estimate,17.20%
"Fairfax County, Virginia",
    Total,
        Estimate,"1,132,414"
    With a disability,
        Estimate,"90,426"
    Percent with a disability,
        Estimate,8.00%
"Fauquier County, Virginia",
    Total,
        Estimate,"74,325"
    With a disability,
        Estimate,"7,134"
    Percent with a disability,
        Estimate,9.60%
"Floyd County, Virginia",
    Total,
        Estimate,"15,521"
    With a disability,
        Estimate,"2,064"
    Percent with a disability,
        Estimate,13.30%
"Fluvanna County, Virginia",
    Total,
        Estimate,"26,764"
    With a disability,
        Estimate,"2,775"
    Percent with a disability,
        Estimate,10.40%
"Franklin County, Virginia",
    Total,
        Estimate,"54,714"
    With a disability,
        Estimate,"8,773"
    Percent with a disability,
        Estimate,16.00%
"Frederick County, Virginia",
    Total,
        Estimate,"93,358"
    With a disability,
        Estimate,"11,240"
    Percent with a disability,
        Estimate,12.00%
"Giles County, Virginia",
    Total,
        Estimate,"16,418"
    With a disability,
        Estimate,"2,162"
    Percent with a disability,
        Estimate,13.20%
"Gloucester County, Virginia",
    Total,
        Estimate,"38,760"
    With a disability,
        Estimate,"6,871"
    Percent with a disability,
        Estimate,17.70%
"Goochland County, Virginia",
    Total,
        Estimate,"25,437"
    With a disability,
        Estimate,"3,195"
    Percent with a disability,
        Estimate,12.60%
"Grayson County, Virginia",
    Total,
        Estimate,"14,324"
    With a disability,
        Estimate,"3,108"
    Percent with a disability,
        Estimate,21.70%
"Greene County, Virginia",
    Total,
        Estimate,"20,981"
    With a disability,
        Estimate,"3,058"
    Percent with a disability,
        Estimate,14.60%
"Greensville County, Virginia",
    Total,
        Estimate,"8,062"
    With a disability,
        Estimate,"1,107"
    Percent with a disability,
        Estimate,13.70%
"Halifax County, Virginia",
    Total,
        Estimate,"32,772"
    With a disability,
        Estimate,"6,636"
    Percent with a disability,
        Estimate,20.20%
"Hanover County, Virginia",
    Total,
        Estimate,"111,856"
    With a disability,
        Estimate,"12,634"
    Percent with a disability,
        Estimate,11.30%
"Henrico County, Virginia",
    Total,
        Estimate,"332,470"
    With a disability,
        Estimate,"38,230"
    Percent with a disability,
        Estimate,11.50%
"Henry County, Virginia",
    Total,
        Estimate,"48,998"
    With a disability,
        Estimate,"11,360"
    Percent with a disability,
        Estimate,23.20%
"Highland County, Virginia",
    Total,
        Estimate,"2,296"
    With a disability,
        Estimate,447
    Percent with a disability,
        Estimate,19.50%
"Isle of Wight County, Virginia",
    Total,
        Estimate,"39,114"
    With a disability,
        Estimate,"5,761"
    Percent with a disability,
        Estimate,14.70%
"James City County, Virginia",
    Total,
        Estimate,"79,037"
    With a disability,
        Estimate,"11,134"
    Percent with a disability,
        Estimate,14.10%
"King and Queen County, Virginia",
    Total,
        Estimate,"6,695"
    With a disability,
        Estimate,"1,005"
    Percent with a disability,
        Estimate,15.00%
"King George County, Virginia",
    Total,
        Estimate,"27,399"
    With a disability,
        Estimate,"2,818"
    Percent with a disability,
        Estimate,10.30%
"King William County, Virginia",
    Total,
        Estimate,"18,525"
    With a disability,
        Estimate,"2,371"
    Percent with a disability,
        Estimate,12.80%
"Lancaster County, Virginia",
    Total,
        Estimate,"10,670"
    With a disability,
        Estimate,"1,971"
    Percent with a disability,
        Estimate,18.50%
"Lee County, Virginia",
    Total,
        Estimate,"20,312"
    With a disability,
        Estimate,"5,861"
    Percent with a disability,
        Estimate,28.90%
"Loudoun County, Virginia",
    Total,
        Estimate,"430,931"
    With a disability,
        Estimate,"30,596"
    Percent with a disability,
        Estimate,7.10%
"Louisa County, Virginia",
    Total,
        Estimate,"39,830"
    With a disability,
        Estimate,"6,032"
    Percent with a disability,
        Estimate,15.10%
"Lunenburg County, Virginia",
    Total,
        Estimate,"11,062"
    With a disability,
        Estimate,"2,681"
    Percent with a disability,
        Estimate,24.20%
"Madison County, Virginia",
    Total,
        Estimate,"13,907"
    With a disability,
        Estimate,"1,996"
    Percent with a disability,
        Estimate,14.40%
"Mathews County, Virginia",
    Total,
        Estimate,"8,470"
    With a disability,
        Estimate,"1,832"
    Percent with a disability,
        Estimate,21.60%
"Mecklenburg County, Virginia",
    Total,
        Estimate,"29,573"
    With a disability,
        Estimate,"5,746"
    Percent with a disability,
        Estimate,19.40%
"Middlesex County, Virginia",
    Total,
        Estimate,"10,520"
    With a disability,
        Estimate,"1,962"
    Percent with a disability,
        Estimate,18.70%
"Montgomery County, Virginia",
    Total,
        Estimate,"98,294"
    With a disability,
        Estimate,"10,376"
    Percent with a disability,
        Estimate,10.60%
"Nelson County, Virginia",
    Total,
        Estimate,"14,696"
    With a disability,
        Estimate,"2,106"
    Percent with a disability,
        Estimate,14.30%
"New Kent County, Virginia",
    Total,
        Estimate,"24,273"
    With a disability,
        Estimate,"2,672"
    Percent with a disability,
        Estimate,11.00%
"Northampton County, Virginia",
    Total,
        Estimate,"11,781"
    With a disability,
        Estimate,"2,258"
    Percent with a disability,
        Estimate,19.20%
"Northumberland County, Virginia",
    Total,
        Estimate,"12,035"
    With a disability,
        Estimate,"1,957"
    Percent with a disability,
        Estimate,16.30%
"Nottoway County, Virginia",
    Total,
        Estimate,"13,628"
    With a disability,
        Estimate,"2,635"
    Percent with a disability,
        Estimate,19.30%
"Orange County, Virginia",
    Total,
        Estimate,"37,217"
    With a disability,
        Estimate,"5,536"
    Percent with a disability,
        Estimate,14.90%
"Page County, Virginia",
    Total,
        Estimate,"23,492"
    With a disability,
        Estimate,"4,504"
    Percent with a disability,
        Estimate,19.20%
"Patrick County, Virginia",
    Total,
        Estimate,"17,143"
    With a disability,
        Estimate,"3,495"
    Percent with a disability,
        Estimate,20.40%
"Pittsylvania County, Virginia",
    Total,
        Estimate,"58,488"
    With a disability,
        Estimate,"11,616"
    Percent with a disability,
        Estimate,19.90%
"Powhatan County, Virginia",
    Total,
        Estimate,"30,289"
    With a disability,
        Estimate,"3,546"
    Percent with a disability,
        Estimate,11.70%
"Prince Edward County, Virginia",
    Total,
        Estimate,"20,923"
    With a disability,
        Estimate,"2,956"
    Percent with a disability,
        Estimate,14.10%
"Prince George County, Virginia",
    Total,
        Estimate,"33,685"
    With a disability,
        Estimate,"4,525"
    Percent with a disability,
        Estimate,13.40%
"Prince William County, Virginia",
    Total,
        Estimate,"480,514"
    With a disability,
        Estimate,"42,792"
    Percent with a disability,
        Estimate,8.90%
"Pulaski County, Virginia",
    Total,
        Estimate,"32,606"
    With a disability,
        Estimate,"6,077"
    Percent with a disability,
        Estimate,18.60%
"Rappahannock County, Virginia",
    Total,
        Estimate,"7,418"
    With a disability,
        Estimate,895
    Percent with a disability,
        Estimate,12.10%
"Richmond County, Virginia",
    Total,
        Estimate,"7,466"
    With a disability,
        Estimate,"1,337"
    Percent with a disability,
        Estimate,17.90%
"Roanoke County, Virginia",
    Total,
        Estimate,"95,205"
    With a disability,
        Estimate,"13,871"
    Percent with a disability,
        Estimate,14.60%
"Rockbridge County, Virginia",
    Total,
        Estimate,"22,252"
    With a disability,
        Estimate,"4,330"
    Percent with a disability,
        Estimate,19.50%
"Rockingham County, Virginia",
    Total,
        Estimate,"85,110"
    With a disability,
        Estimate,"11,269"
    Percent with a disability,
        Estimate,13.20%
"Russell County, Virginia",
    Total,
        Estimate,"25,313"
    With a disability,
        Estimate,"8,006"
    Percent with a disability,
        Estimate,31.60%
"Scott County, Virginia",
    Total,
        Estimate,"20,725"
    With a disability,
        Estimate,"5,738"
    Percent with a disability,
        Estimate,27.70%
"Shenandoah County, Virginia",
    Total,
        Estimate,"44,522"
    With a disability,
        Estimate,"7,586"
    Percent with a disability,
        Estimate,17.00%
"Smyth County, Virginia",
    Total,
        Estimate,"28,760"
    With a disability,
        Estimate,"6,643"
    Percent with a disability,
        Estimate,23.10%
"Southampton County, Virginia",
    Total,
        Estimate,"16,425"
    With a disability,
        Estimate,"3,220"
    Percent with a disability,
        Estimate,19.60%
"Spotsylvania County, Virginia",
    Total,
        Estimate,"145,456"
    With a disability,
        Estimate,"15,895"
    Percent with a disability,
        Estimate,10.90%
"Stafford County, Virginia",
    Total,
        Estimate,"157,011"
    With a disability,
        Estimate,"13,835"
    Percent with a disability,
        Estimate,8.80%
"Surry County, Virginia",
    Total,
        Estimate,"6,540"
    With a disability,
        Estimate,"1,157"
    Percent with a disability,
        Estimate,17.70%
"Sussex County, Virginia",
    Total,
        Estimate,"9,162"
    With a disability,
        Estimate,"1,610"
    Percent with a disability,
        Estimate,17.60%
"Tazewell County, Virginia",
    Total,
        Estimate,"38,135"
    With a disability,
        Estimate,"7,679"
    Percent with a disability,
        Estimate,20.10%
"Warren County, Virginia",
    Total,
        Estimate,"41,066"
    With a disability,
        Estimate,"6,137"
    Percent with a disability,
        Estimate,14.90%
"Washington County, Virginia",
    Total,
        Estimate,"53,393"
    With a disability,
        Estimate,"11,546"
    Percent with a disability,
        Estimate,21.60%
"Westmoreland County, Virginia",
    Total,
        Estimate,"18,587"
    With a disability,
        Estimate,"3,261"
    Percent with a disability,
        Estimate,17.50%
"Wise County, Virginia",
    Total,
        Estimate,"33,038"
    With a disability,
        Estimate,"9,083"
    Percent with a disability,
        Estimate,27.50%
"Wythe County, Virginia",
    Total,
        Estimate,"27,958"
    With a disability,
        Estimate,"5,229"
    Percent with a disability,
        Estimate,18.70%
"York County, Virginia",
    Total,
        Estimate,"66,237"
    With a disability,
        Estimate,"8,725"
    Percent with a disability,
        Estimate,13.20%
"Alexandria city, Virginia",
    Total,
        Estimate,"152,743"
    With a disability,
        Estimate,"11,375"
    Percent with a disability,
        Estimate,7.40%
"Bristol city, Virginia",
    Total,
        Estimate,"16,577"
    With a disability,
        Estimate,"3,639"
    Percent with a disability,
        Estimate,22.00%
"Buena Vista city, Virginia",
    Total,
        Estimate,"6,546"
    With a disability,
        Estimate,"1,367"
    Percent with a disability,
        Estimate,20.90%
"Charlottesville city, Virginia",
    Total,
        Estimate,"45,134"
    With a disability,
        Estimate,"4,222"
    Percent with a disability,
        Estimate,9.40%
"Chesapeake city, Virginia",
    Total,
        Estimate,"240,988"
    With a disability,
        Estimate,"31,423"
    Percent with a disability,
        Estimate,13.00%
"Colonial Heights city, Virginia",
    Total,
        Estimate,"18,087"
    With a disability,
        Estimate,"3,066"
    Percent with a disability,
        Estimate,17.00%
"Covington city, Virginia",
    Total,
        Estimate,"5,599"
    With a disability,
        Estimate,846
    Percent with a disability,
        Estimate,15.10%
"Danville city, Virginia",
    Total,
        Estimate,"41,164"
    With a disability,
        Estimate,"7,405"
    Percent with a disability,
        Estimate,18.00%
"Emporia city, Virginia",
    Total,
        Estimate,"5,355"
    With a disability,
        Estimate,"1,204"
    Percent with a disability,
        Estimate,22.50%
"Fairfax city, Virginia",
    Total,
        Estimate,"24,615"
    With a disability,
        Estimate,"1,936"
    Percent with a disability,
        Estimate,7.90%
"Falls Church city, Virginia",
    Total,
        Estimate,"14,526"
    With a disability,
        Estimate,"1,042"
    Percent with a disability,
        Estimate,7.20%
"Franklin city, Virginia",
    Total,
        Estimate,"8,119"
    With a disability,
        Estimate,"1,835"
    Percent with a disability,
        Estimate,22.60%
"Fredericksburg city, Virginia",
    Total,
        Estimate,"28,761"
    With a disability,
        Estimate,"3,278"
    Percent with a disability,
        Estimate,11.40%
"Galax city, Virginia",
    Total,
        Estimate,"6,515"
    With a disability,
        Estimate,"1,012"
    Percent with a disability,
        Estimate,15.50%
"Hampton city, Virginia",
    Total,
        Estimate,"130,713"
    With a disability,
        Estimate,"21,461"
    Percent with a disability,
        Estimate,16.40%
"Harrisonburg city, Virginia",
    Total,
        Estimate,"50,750"
    With a disability,
        Estimate,"5,285"
    Percent with a disability,
        Estimate,10.40%
"Hopewell city, Virginia",
    Total,
        Estimate,"22,570"
    With a disability,
        Estimate,"4,082"
    Percent with a disability,
        Estimate,18.10%
"Lexington city, Virginia",
    Total,
        Estimate,"7,457"
    With a disability,
        Estimate,"1,005"
    Percent with a disability,
        Estimate,13.50%
"Lynchburg city, Virginia",
    Total,
        Estimate,"77,866"
    With a disability,
        Estimate,"10,734"
    Percent with a disability,
        Estimate,13.80%
"Manassas city, Virginia",
    Total,
        Estimate,"42,862"
    With a disability,
        Estimate,"4,015"
    Percent with a disability,
        Estimate,9.40%
"Manassas Park city, Virginia",
    Total,
        Estimate,"16,689"
    With a disability,
        Estimate,"1,684"
    Percent with a disability,
        Estimate,10.10%
"Martinsville city, Virginia",
    Total,
        Estimate,"13,244"
    With a disability,
        Estimate,"2,347"
    Percent with a disability,
        Estimate,17.70%
"Newport News city, Virginia",
    Total,
        Estimate,"174,548"
    With a disability,
        Estimate,"27,041"
    Percent with a disability,
        Estimate,15.50%
"Norfolk city, Virginia",
    Total,
        Estimate,"207,483"
    With a disability,
        Estimate,"31,343"
    Percent with a disability,
        Estimate,15.10%
"Norton city, Virginia",
    Total,
        Estimate,"3,539"
    With a disability,
        Estimate,"1,192"
    Percent with a disability,
        Estimate,33.70%
"Petersburg city, Virginia",
    Total,
        Estimate,"32,782"
    With a disability,
        Estimate,"6,377"
    Percent with a disability,
        Estimate,19.50%
"Poquoson city, Virginia",
    Total,
        Estimate,"12,433"
    With a disability,
        Estimate,"1,474"
    Percent with a disability,
        Estimate,11.90%
"Portsmouth city, Virginia",
    Total,
        Estimate,"91,870"
    With a disability,
        Estimate,"15,650"
    Percent with a disability,
        Estimate,17.00%
"Radford city, Virginia",
    Total,
        Estimate,"16,528"
    With a disability,
        Estimate,"1,993"
    Percent with a disability,
        Estimate,12.10%
"Richmond city, Virginia",
    Total,
        Estimate,"226,958"
    With a disability,
        Estimate,"32,244"
    Percent with a disability,
        Estimate,14.20%
"Roanoke city, Virginia",
    Total,
        Estimate,"96,802"
    With a disability,
        Estimate,"14,167"
    Percent with a disability,
        Estimate,14.60%
"Salem city, Virginia",
    Total,
        Estimate,"24,854"
    With a disability,
        Estimate,"3,143"
    Percent with a disability,
        Estimate,12.60%
"Staunton city, Virginia",
    Total,
        Estimate,"25,031"
    With a disability,
        Estimate,"3,805"
    Percent with a disability,
        Estimate,15.20%
"Suffolk city, Virginia",
    Total,
        Estimate,"94,841"
    With a disability,
        Estimate,"12,620"
    Percent with a disability,
        Estimate,13.30%
"Virginia Beach city, Virginia",
    Total,
        Estimate,"431,712"
    With a disability,
        Estimate,"52,299"
    Percent with a disability,
        Estimate,12.10%
"Waynesboro city, Virginia",
    Total,
        Estimate,"22,606"
    With a disability,
        Estimate,"4,484"
    Percent with a disability,
        Estimate,19.80%
"Williamsburg city, Virginia",
    Total,
        Estimate,"15,555"
    With a disability,
        Estimate,"1,468"
    Percent with a disability,
        Estimate,9.40%
"Winchester city, Virginia",
    Total,
        Estimate,"27,650"
    With a disability,
        Estimate,"4,375"
    Percent with a disability,
        Estimate,15.80%
"Adams County, Washington",
    Total,
        Estimate,"20,628"
    With a disability,
        Estimate,"2,404"
    Percent with a disability,
        Estimate,11.70%
"Asotin County, Washington",
    Total,
        Estimate,"22,242"
    With a disability,
        Estimate,"4,712"
    Percent with a disability,
        Estimate,21.20%
"Benton County, Washington",
    Total,
        Estimate,"211,519"
    With a disability,
        Estimate,"31,907"
    Percent with a disability,
        Estimate,15.10%
"Chelan County, Washington",
    Total,
        Estimate,"79,438"
    With a disability,
        Estimate,"12,498"
    Percent with a disability,
        Estimate,15.70%
"Clallam County, Washington",
    Total,
        Estimate,"76,445"
    With a disability,
        Estimate,"15,859"
    Percent with a disability,
        Estimate,20.70%
"Clark County, Washington",
    Total,
        Estimate,"514,150"
    With a disability,
        Estimate,"68,812"
    Percent with a disability,
        Estimate,13.40%
"Columbia County, Washington",
    Total,
        Estimate,"3,983"
    With a disability,
        Estimate,730
    Percent with a disability,
        Estimate,18.30%
"Cowlitz County, Washington",
    Total,
        Estimate,"111,658"
    With a disability,
        Estimate,"22,519"
    Percent with a disability,
        Estimate,20.20%
"Douglas County, Washington",
    Total,
        Estimate,"44,259"
    With a disability,
        Estimate,"7,072"
    Percent with a disability,
        Estimate,16.00%
"Ferry County, Washington",
    Total,
        Estimate,"7,326"
    With a disability,
        Estimate,"1,721"
    Percent with a disability,
        Estimate,23.50%
"Franklin County, Washington",
    Total,
        Estimate,"96,671"
    With a disability,
        Estimate,"10,125"
    Percent with a disability,
        Estimate,10.50%
"Garfield County, Washington",
    Total,
        Estimate,"2,326"
    With a disability,
        Estimate,564
    Percent with a disability,
        Estimate,24.20%
"Grant County, Washington",
    Total,
        Estimate,"101,372"
    With a disability,
        Estimate,"14,672"
    Percent with a disability,
        Estimate,14.50%
"Grays Harbor County, Washington",
    Total,
        Estimate,"74,588"
    With a disability,
        Estimate,"16,386"
    Percent with a disability,
        Estimate,22.00%
"Island County, Washington",
    Total,
        Estimate,"79,643"
    With a disability,
        Estimate,"13,423"
    Percent with a disability,
        Estimate,16.90%
"Jefferson County, Washington",
    Total,
        Estimate,"33,036"
    With a disability,
        Estimate,"6,669"
    Percent with a disability,
        Estimate,20.20%
"King County, Washington",
    Total,
        Estimate,"2,273,752"
    With a disability,
        Estimate,"234,294"
    Percent with a disability,
        Estimate,10.30%
"Kitsap County, Washington",
    Total,
        Estimate,"263,432"
    With a disability,
        Estimate,"39,092"
    Percent with a disability,
        Estimate,14.80%
"Kittitas County, Washington",
    Total,
        Estimate,"46,885"
    With a disability,
        Estimate,"7,573"
    Percent with a disability,
        Estimate,16.20%
"Klickitat County, Washington",
    Total,
        Estimate,"23,381"
    With a disability,
        Estimate,"4,384"
    Percent with a disability,
        Estimate,18.80%
"Lewis County, Washington",
    Total,
        Estimate,"84,480"
    With a disability,
        Estimate,"16,630"
    Percent with a disability,
        Estimate,19.70%
"Lincoln County, Washington",
    Total,
        Estimate,"11,374"
    With a disability,
        Estimate,"2,360"
    Percent with a disability,
        Estimate,20.70%
"Mason County, Washington",
    Total,
        Estimate,"66,394"
    With a disability,
        Estimate,"12,879"
    Percent with a disability,
        Estimate,19.40%
"Okanogan County, Washington",
    Total,
        Estimate,"42,883"
    With a disability,
        Estimate,"7,161"
    Percent with a disability,
        Estimate,16.70%
"Pacific County, Washington",
    Total,
        Estimate,"23,773"
    With a disability,
        Estimate,"5,505"
    Percent with a disability,
        Estimate,23.20%
"Pend Oreille County, Washington",
    Total,
        Estimate,"13,957"
    With a disability,
        Estimate,"2,871"
    Percent with a disability,
        Estimate,20.60%
"Pierce County, Washington",
    Total,
        Estimate,"899,694"
    With a disability,
        Estimate,"126,423"
    Percent with a disability,
        Estimate,14.10%
"San Juan County, Washington",
    Total,
        Estimate,"18,407"
    With a disability,
        Estimate,"2,355"
    Percent with a disability,
        Estimate,12.80%
"Skagit County, Washington",
    Total,
        Estimate,"129,654"
    With a disability,
        Estimate,"19,782"
    Percent with a disability,
        Estimate,15.30%
"Skamania County, Washington",
    Total,
        Estimate,"12,358"
    With a disability,
        Estimate,"1,743"
    Percent with a disability,
        Estimate,14.10%
"Snohomish County, Washington",
    Total,
        Estimate,"835,815"
    With a disability,
        Estimate,"103,404"
    Percent with a disability,
        Estimate,12.40%
"Spokane County, Washington",
    Total,
        Estimate,"539,679"
    With a disability,
        Estimate,"86,941"
    Percent with a disability,
        Estimate,16.10%
"Stevens County, Washington",
    Total,
        Estimate,"47,854"
    With a disability,
        Estimate,"8,462"
    Percent with a disability,
        Estimate,17.70%
"Thurston County, Washington",
    Total,
        Estimate,"290,554"
    With a disability,
        Estimate,"46,833"
    Percent with a disability,
        Estimate,16.10%
"Wahkiakum County, Washington",
    Total,
        Estimate,"4,641"
    With a disability,
        Estimate,922
    Percent with a disability,
        Estimate,19.90%
"Walla Walla County, Washington",
    Total,
        Estimate,"59,385"
    With a disability,
        Estimate,"8,487"
    Percent with a disability,
        Estimate,14.30%
"Whatcom County, Washington",
    Total,
        Estimate,"228,886"
    With a disability,
        Estimate,"32,681"
    Percent with a disability,
        Estimate,14.30%
"Whitman County, Washington",
    Total,
        Estimate,"46,604"
    With a disability,
        Estimate,"6,808"
    Percent with a disability,
        Estimate,14.60%
"Yakima County, Washington",
    Total,
        Estimate,"254,978"
    With a disability,
        Estimate,"35,503"
